>Feature	Ctg44_length_309375			
			product	phenylalanyl-tRNA synthetase alpha chain, putative
350329	351210	gene		
			locus_tag	LWC14_02428
351210	350329	CDS		
			product	NAD+ synthase, putative
821066	822943	gene		
			locus_tag	LWC14_02429
821066	822943	CDS		
			product	T-complex protein 1, alpha subunit, putative
317422	318315	gene		
			locus_tag	LWC14_02430
318315	317422	CDS		
			product	YqaJ-like viral recombinase domain containing protein, putative
239118	239969	gene		
			locus_tag	LWC14_02431
239118	239969	CDS		
			product	Polypeptide deformylase 1
845637	849506	gene		
			locus_tag	LWC14_02432
845637	849506	CDS		
			product	hypothetical protein
665700	668033	gene		
			locus_tag	LWC14_02433
668033	665700	CDS		
			product	CS domain/TPR repeat, putative
255235	260031	gene		
			locus_tag	LWC14_02434
255235	260031	CDS		
			product	Bifunctional Monophosphate RNA Kinase/RNA guanylyltransferase
404863	405486	gene		
			locus_tag	LWC14_02435
405486	404863	CDS		
			product	small GTPase
20795	23119	gene		
			locus_tag	LWC14_02436
20795	23119	CDS		
			product	hypothetical protein, conserved
17964	19916	gene		
			locus_tag	LWC14_02437
17964	19916	CDS		
			product	ATP- dependent RNA helicase, putative
877978	879798	gene		
			locus_tag	LWC14_02438
877978	879798	CDS		
			product	RNA-binding protein, putative
55944	57572	gene		
			locus_tag	LWC14_02439
55944	57572	CDS		
			product	Pab1p-dependent poly(A) ribonuclease subunit, putative
406168	407949	gene		
			locus_tag	LWC14_02440
407949	406168	CDS		
			product	Chaperonin HSP60, mitochondrial
129846	132836	gene		
			locus_tag	LWC14_02441
129846	132836	CDS		
			product	Staphylococcal nuclease homologue/Tudor domain containing protein, putative
738636	740864	gene		
			locus_tag	LWC14_02442
738636	740864	CDS		
			product	AIR9-like protein
65014	65853	gene		
			locus_tag	LWC14_02443
65014	65853	CDS		
			product	nuclear RNA binding domain 2
492577	493014	gene		
			locus_tag	LWC14_02444
493014	492577	CDS		
			product	ribose 5-phosphate isomerase, putative
693920	695479	gene		
			locus_tag	LWC14_02445
695479	693920	CDS		
			product	TFIIH basal transcription factor subunit
750020	753121	gene		
			locus_tag	LWC14_02446
750020	753121	CDS		
			product	hypothetical protein
373878	374321	gene		
			locus_tag	LWC14_02447
374321	373878	CDS		
			product	zinc finger protein 2
9501	9950	gene		
			locus_tag	LWC14_02448
9501	9950	CDS		
			product	profilin
955081	958266	gene		
			locus_tag	LWC14_02449
955081	958266	CDS		
			product	Unconventional myosin
223623	225425	gene		
			locus_tag	LWC14_02450
223623	225425	CDS		
			product	ubiquitin carboxyl-terminal hydrolase, putative
396603	397508	gene		
			locus_tag	LWC14_02451
397508	396603	CDS		
			product	survival of motor neuron (SMN)-like protein
240381	241535	gene		
			locus_tag	LWC14_02452
240381	241535	CDS		
			product	WLM domain containing protein, putative
466837	467823	gene		
			locus_tag	LWC14_02453
467823	466837	CDS		
			product	phosphopantetheine adenylyltransferase, putative
593188	594393	gene		
			locus_tag	LWC14_02454
594393	593188	CDS		
			product	hypothetical protein, conserved
493413	493895	gene		
			locus_tag	LWC14_02455
493895	493413	CDS		
			product	hypothetical protein
441241	443454	gene		
			locus_tag	LWC14_02456
443454	441241	CDS		
			product	hypothetical protein
508785	509405	gene		
			locus_tag	LWC14_02457
509405	508785	CDS		
			product	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative
988298	991114	gene		
			locus_tag	LWC14_02458
988298	991114	CDS		
			product	hypothetical protein, conserved
374925	379337	gene		
			locus_tag	LWC14_02459
374925	379337	CDS		
			product	hypothetical protein
673605	675263	gene		
			locus_tag	LWC14_02460
675263	673605	CDS		
			product	hypothetical protein
171197	171445	gene		
			locus_tag	LWC14_02461
171197	171445	CDS		
			product	small nuclear ribonucleoprotein Sm-G
951230	954778	gene		
			locus_tag	LWC14_02462
951230	954778	CDS		
			product	hypothetical protein, conserved
899333	900586	gene		
			locus_tag	LWC14_02463
899333	900586	CDS		
			product	enoyl-CoA hydratase/isomerase family protein, putative
831792	833078	gene		
			locus_tag	LWC14_02464
831792	833078	CDS		
			product	chaperone protein DnaJ, putative
11079	11519	gene		
			locus_tag	LWC14_02465
11079	11519	CDS		
			product	hypothetical protein, conserved
624466	628428	gene		
			locus_tag	LWC14_02466
628428	624466	CDS		
			product	hypothetical protein, conserved
591018	592568	gene		
			locus_tag	LWC14_02467
592568	591018	CDS		
			product	GPI transamidase subunit Tta1
676344	679175	gene		
			locus_tag	LWC14_02468
679175	676344	CDS		
			product	hypothetical protein
201654	204548	gene		
			locus_tag	LWC14_02469
201654	204548	CDS		
			product	Ankyrin repeats (3 copies), putative
696023	696895	gene		
			locus_tag	LWC14_02470
696895	696023	CDS		
			product	Soluble NSF attachment protein, SNAP, putative
75030	79787	gene		
			locus_tag	LWC14_02471
75030	79787	CDS		
			product	STE/STE11 serine/threonine-protein kinase, putative
993319	995874	gene		
			locus_tag	LWC14_02472
993319	995874	CDS		
			product	cAMP response protein 1, putative
384415	387120	gene		
			locus_tag	LWC14_02473
387120	384415	CDS		
			product	pumilio/PUF RNA binding protein 7, putative
833875	835302	gene		
			locus_tag	LWC14_02474
833875	835302	CDS		
			product	dihydrolipoyl dehydrogenase
200224	201072	gene		
			locus_tag	LWC14_02475
200224	201072	CDS		
			product	hypothetical protein, conserved
963254	964033	gene		
			locus_tag	LWC14_02476
963254	964033	CDS		
			product	60S ribosomal protein L8, putative
679990	693471	gene		
			locus_tag	LWC14_02477
693471	679990	CDS		
			product	hypothetical protein
325227	326570	gene		
			locus_tag	LWC14_02478
326570	325227	CDS		
			product	phosphomannose isomerase
859445	862255	gene		
			locus_tag	LWC14_02479
859445	862255	CDS		
			product	tRNA pseudouridine synthase D (TruD), putative
770061	773393	gene		
			locus_tag	LWC14_02480
770061	773393	CDS		
			product	Serine hydrolase (FSH1)/RWD domain/50S ribosome-binding GTPase/GTPase of unknown function C-terminal, putative
135571	141642	gene		
			locus_tag	LWC14_02481
135571	141642	CDS		
			product	conserved protein
390334	392154	gene		
			locus_tag	LWC14_02482
392154	390334	CDS		
			product	mitochondrial ribosomal protein L38
419508	420059	gene		
			locus_tag	LWC14_02483
420059	419508	CDS		
			product	hypothetical protein
753593	756685	gene		
			locus_tag	LWC14_02484
753593	756685	CDS		
			product	SUMO-interacting motif-containing protein
554703	556037	gene		
			locus_tag	LWC14_02485
556037	554703	CDS		
			product	hypothetical protein, conserved
126028	129294	gene		
			locus_tag	LWC14_02486
126028	129294	CDS		
			product	hypothetical protein, conserved
456012	456683	gene		
			locus_tag	LWC14_02487
456683	456012	CDS		
			product	cytosolic coat protein, putative
488354	491764	gene		
			locus_tag	LWC14_02488
491764	488354	CDS		
			product	Importin subunit beta-4, putative
388461	389933	gene		
			locus_tag	LWC14_02489
389933	388461	CDS		
			product	hypothetical protein
571188	575306	gene		
			locus_tag	LWC14_02490
575306	571188	CDS		
			product	hypothetical protein
449026	451173	gene		
			locus_tag	LWC14_02491
451173	449026	CDS		
			product	Domain of unknown function (DUF4200), putative
538204	538854	gene		
			locus_tag	LWC14_02492
538854	538204	CDS		
			product	hypothetical protein, conserved
421185	422201	gene		
			locus_tag	LWC14_02493
422201	421185	CDS		
			product	Tb5.20
600890	601828	gene		
			locus_tag	LWC14_02494
601828	600890	CDS		
			product	NADH-ubiquinone oxidoreductase B22 subunit
30511	32025	gene		
			locus_tag	LWC14_02495
30511	32025	CDS		
			product	hypothetical protein, conserved
225850	227487	gene		
			locus_tag	LWC14_02496
225850	227487	CDS		
			product	hypothetical protein
486911	487318	gene		
			locus_tag	LWC14_02497
487318	486911	CDS		
			product	hypothetical protein, conserved
341685	345515	gene		
			locus_tag	LWC14_02498
345515	341685	CDS		
			product	hypothetical protein, conserved
460009	462171	gene		
			locus_tag	LWC14_02499
462171	460009	CDS		
			product	hypothetical protein, conserved
242134	244809	gene		
			locus_tag	LWC14_02500
242134	244809	CDS		
			product	PPPDE putative peptidase domain containing protein, putative
485278	486426	gene		
			locus_tag	LWC14_02501
486426	485278	CDS		
			product	RNA-binding protein, putative
743007	745505	gene		
			locus_tag	LWC14_02502
743007	745505	CDS		
			product	Mitoribosomal LSU assembly factor 17
514185	517079	gene		
			locus_tag	LWC14_02503
517079	514185	CDS		
			product	ATP-dependent DEAD/H RNA helicase, putative
153905	155470	gene		
			locus_tag	LWC14_02504
153905	155470	CDS		
			product	Vps23 core domain containing protein, putative
856086	859049	gene		
			locus_tag	LWC14_02505
856086	859049	CDS		
			product	hypothetical protein
819370	820212	gene		
			locus_tag	LWC14_02506
819370	820212	CDS		
			product	glucosamine-6-phosphate isomerase, putative
862535	864709	gene		
			locus_tag	LWC14_02507
862535	864709	CDS		
			product	hypothetical protein, conserved
596507	600481	gene		
			locus_tag	LWC14_02508
600481	596507	CDS		
			product	Cytokinesis initiation factor 1
346133	349771	gene		
			locus_tag	LWC14_02509
349771	346133	CDS		
			product	hypothetical protein, conserved
432327	436025	gene		
			locus_tag	LWC14_02510
436025	432327	CDS		
			product	hypothetical protein, conserved
37867	38451	gene		
			locus_tag	LWC14_02511
37867	38451	CDS		
			product	Centrin-5
482398	484851	gene		
			locus_tag	LWC14_02512
484851	482398	CDS		
			product	hypothetical protein, conserved
1003045	1007448	gene		
			locus_tag	LWC14_02513
1003045	1007448	CDS		
			product	hypothetical protein
782480	784672	gene		
			locus_tag	LWC14_02514
782480	784672	CDS		
			product	leucine-rich repeat protein (LRRP), putative
208251	209072	gene		
			locus_tag	LWC14_02515
208251	209072	CDS		
			product	proteasome regulatory non-ATP-ase subunit
68187	72932	gene		
			locus_tag	LWC14_02516
68187	72932	CDS		
			product	RIC1, putative
357506	358918	gene		
			locus_tag	LWC14_02517
358918	357506	CDS		
			product	protein phosphatase 2C, putative
181816	185049	gene		
			locus_tag	LWC14_02518
181816	185049	CDS		
			product	exportin 1
830470	831270	gene		
			locus_tag	LWC14_02519
830470	831270	CDS		
			product	hypothetical protein, conserved
309567	310154	gene		
			locus_tag	LWC14_02520
310154	309567	CDS		
			product	rRNA processing, putative
569625	570671	gene		
			locus_tag	LWC14_02521
570671	569625	CDS		
			product	terminal uridylyltransferase 4
444423	445454	gene		
			locus_tag	LWC14_02522
445454	444423	CDS		
			product	1-acyl-sn-glycerol-3-phosphate acyltransferase, putative
661208	663697	gene		
			locus_tag	LWC14_02523
663697	661208	CDS		
			product	hypothetical protein
747920	748831	gene		
			locus_tag	LWC14_02524
747920	748831	CDS		
			product	protein phosphatase 4, putative
245277	251192	gene		
			locus_tag	LWC14_02525
245277	251192	CDS		
			product	Cleavage and polyadenylation specificity factor CPSF160, putative
616791	617222	gene		
			locus_tag	LWC14_02526
617222	616791	CDS		
			product	hypothetical protein
617584	620238	gene		
			locus_tag	LWC14_02527
620238	617584	CDS		
			product	kinteoplast poly(A) polymerase complex 1 subunit
168205	170061	gene		
			locus_tag	LWC14_02528
168205	170061	CDS		
			product	Dynein intermediate chain, axonemal
32650	33225	gene		
			locus_tag	LWC14_02529
32650	33225	CDS		
			product	uncharacterized protein, PH0010 family/AmmeMemoRadiSam system protein A, putative
33853	35607	gene		
			locus_tag	LWC14_02530
33853	35607	CDS		
			product	kinetoplastid-specific protein tyrosine phosphatase, putative
80445	81002	gene		
			locus_tag	LWC14_02531
80445	81002	CDS		
			product	hypothetical protein, conserved
81377	85438	gene		
			locus_tag	LWC14_02532
81377	85438	CDS		
			product	hypothetical protein
869285	870706	gene		
			locus_tag	LWC14_02533
869285	870706	CDS		
			product	hypothetical protein
872467	872748	gene		
			locus_tag	LWC14_02534
872467	872748	CDS		
			product	Protein of unknown function (DUF2638), putative
165965	166627	gene		
			locus_tag	LWC14_02535
165965	166627	CDS		
			product	septum formation protein MAF homologue, putative
167039	167746	gene		
			locus_tag	LWC14_02536
167039	167746	CDS		
			product	vacuolar sorting protein, putative
219698	220117	gene		
			locus_tag	LWC14_02537
219698	220117	CDS		
			product	Bardet-Biedl syndrome 9 protein
220210	223083	gene		
			locus_tag	LWC14_02538
220210	223083	CDS		
			product	Bardet-Biedl syndrome 9 protein
217136	218335	gene		
			locus_tag	LWC14_02539
217136	218335	CDS		
			product	ADP-ribosylation factor GTPase activating protein 1, putative
218918	219256	gene		
			locus_tag	LWC14_02540
219256	218918	CDS		
			product	hypothetical protein
628816	629217	gene		
			locus_tag	LWC14_02541
629217	628816	CDS		
			product	60S ribosomal protein L27, putative
629389	629943	gene		
			locus_tag	LWC14_02542
629943	629389	CDS		
			product	Sybindin-like family, putative
630245	634348	gene		
			locus_tag	LWC14_02543
634348	630245	CDS		
			product	hypothetical protein, conserved
172189	172779	gene		
			locus_tag	LWC14_02544
172189	172779	CDS		
			product	hypothetical protein, conserved
173880	180737	gene		
			locus_tag	LWC14_02545
173880	180737	CDS		
			product	HECT-domain (ubiquitin-transferase), putative
120118	123651	gene		
			locus_tag	LWC14_02546
120118	123651	CDS		
			product	V-type proton ATPase subunit a, putative
124141	124749	gene		
			locus_tag	LWC14_02547
124141	124749	CDS		
			product	hypothetical protein
762017	763081	gene		
			locus_tag	LWC14_02548
762017	763081	CDS		
			product	hypothetical protein
581276	581770	gene		
			locus_tag	LWC14_02549
581770	581276	CDS		
			product	hypothetical protein, conserved
582480	584450	gene		
			locus_tag	LWC14_02550
584450	582480	CDS		
			product	mediator of rna polymerase ii transcription subunit 1
729608	730363	gene		
			locus_tag	LWC14_02551
729608	730363	CDS		
			product	hypothetical protein
408379	409623	gene		
			locus_tag	LWC14_02552
409623	408379	CDS		
			product	hypothetical protein
409999	410418	gene		
			locus_tag	LWC14_02553
410418	409999	CDS		
			product	hypothetical protein, conserved
264576	267848	gene		
			locus_tag	LWC14_02554
264576	267848	CDS		
			product	G5-interacting protein
59051	60985	gene		
			locus_tag	LWC14_02555
59051	60985	CDS		
			product	Outer row dynein-assembly protein 7
61590	62603	gene		
			locus_tag	LWC14_02556
61590	62603	CDS		
			product	GDP-L-fucose synthetase
521974	523542	gene		
			locus_tag	LWC14_02557
523542	521974	CDS		
			product	hypothetical protein
944938	945666	gene		
			locus_tag	LWC14_02558
944938	945666	CDS		
			product	TPR repeat, putative
946011	948164	gene		
			locus_tag	LWC14_02559
946011	948164	CDS		
			product	SHQ1 protein, putative
948432	949538	gene		
			locus_tag	LWC14_02560
948432	949538	CDS		
			product	WD repeat-containing protein 82, putative
114927	116153	gene		
			locus_tag	LWC14_02561
114927	116153	CDS		
			product	ethanolamine-phosphate cytidylyltransferase
116922	117698	gene		
			locus_tag	LWC14_02562
116922	117698	CDS		
			product	hypothetical protein
117933	119852	gene		
			locus_tag	LWC14_02563
117933	119852	CDS		
			product	Alpha/beta hydrolase family, putative
969710	983137	gene		
			locus_tag	LWC14_02564
969710	983137	CDS		
			product	SPRY domain/HECT-domain (ubiquitin-transferase), putative
983585	987364	gene		
			locus_tag	LWC14_02565
983585	987364	CDS		
			product	SPRY domain/HECT-domain (ubiquitin-transferase), putative
880147	880377	gene		
			locus_tag	LWC14_02566
880147	880377	CDS		
			product	hypothetical protein
880580	883168	gene		
			locus_tag	LWC14_02567
880580	883168	CDS		
			product	ATP-dependent DEAD/H RNA helicase, putative
883449	883838	gene		
			locus_tag	LWC14_02568
883449	883838	CDS		
			product	Roadblock/LC7 domain containing protein, putative
270434	271921	gene		
			locus_tag	LWC14_02569
271921	270434	CDS		
			product	hypothetical protein
280034	281347	gene		
			locus_tag	LWC14_02570
281347	280034	CDS		
			product	hypothetical protein
281633	284149	gene		
			locus_tag	LWC14_02571
284149	281633	CDS		
			product	hypothetical protein, conserved
913208	914971	gene		
			locus_tag	LWC14_02572
913208	914971	CDS		
			product	hypothetical protein
469976	471394	gene		
			locus_tag	LWC14_02573
471394	469976	CDS		
			product	tRNA-sepcific adenosine deaminase
